Amelia,http://www.mediafire.com/?020agda4aty
American, The,http://www.focusawards2010.com/workspace/the_american_screenplay.pdf
American 
				Beauty,http://mypage.netlive.ch/demandit/files/M_BFNO38KLSZ567NYSJ29/dms/modul_03/American_Beauty_early_draft.pdf
American Beauty,http://mypage.netlive.ch/demandit/files/M_BFNO38KLSZ567NYSJ29/dms/modul_03/American_Beauty_final_draft.pdf
American 
				Gangster,http://awards.universalpictures.com/pdf/amgang.pdf
American Grafitti,http://www.awesomefilm.com/script/americangraffiti.txt
American History X,http://www.reocities.com/SunsetStrip/Club/3036/script.html
American Madness,http://www.dailyscript.com/scripts/American_Madness.html
American Outlaws,http://www.dailyscript.com/scripts/American_Outlaws.html
American Pie,http://www.dailyscript.com/scripts/american-pie_production.html
American Psycho,http://www.dailyscript.com/scripts/american_psycho_unproduced.html
American President, 
				The,http://www.awesomefilm.com/script/apresident.txt
American 
				Shaolin,http://www.awesomefilm.com/script/ashaolin.html
